Country,2017INv,2017Emp,2018INv,2018Emp,2019Inv,2019Emp,2020Inv,2020Emp,TotalInv,TotalEmp,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,c60,c61,c62
Yemen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,527968.00,20000.00,31.64,967.00,Sana'a,22698.73,157.58,0.08,YER,NA,216.26,4.00,0.01,98.49,0.92,18213328571.43,0.92,0.10,0.06,0.06,43.20,Sana'a,"Abdrabbuh Mansur Hadi (President), Talal Aklan (Minister), Mohamed Abdelaziz al-Jabari (Deputy prime minister), Ali Mohsen al-Ahmar (Vice President), Maeen Abdulmalik Saeed (Prime Minister), Abdel-Aziz bin Habtour (Prime Minister)",64.95,NA,385.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28498683.00,29161922.00,0.02
Ghana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,238533.00,15500.00,31.05,233.00,Accra,14466.32,232.26,0.17,GHS,NA,354.71,3.98,0.41,52.30,0.92,47330016342.57,1.05,0.16,0.05,0.05,41.20,Kumasi,"Nana Akufo-Addo (President), Gloria Akuffo (Minister), Alan John Kyerematen (Minister), Ken Ofori-Atta (Minister), Albert Kan-Dapaah (Minister), MATTHEW PREMPEH (Minister), Alima Mahama (Minister), Ambrose Dery (Minister), Dominic Nitiwul (Minister), Mahamudu Bawumia (Vice President)",62.74,3098510000.00,319.00,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28206728.00,28833629.00,0.02
Nepal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,147181.00,158600.00,19.71,977.00,Kathmandu,8030.73,171.14,0.09,NPR,NA,139.14,2.12,0.25,15.76,0.91,24472013233.85,1.34,0.12,0.05,0.05,28.40,Kathmandu,"Bidhya Devi Bhandari (President), Khadga Prasad Oli (Prime Minister)",70.25,NA,258.00,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28095714.00,28608710.00,0.02
Venezuela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,916445.00,273000.00,19.03,58.00,Caracas,185220.17,2740.27,2.55,VES,NA,2657.62,2.32,0.53,88.38,0.00,482359318767.70,0.97,0.77,0.05,0.05,14.00,Caracas,"Juan Guaidó (President), Delcy Rodríguez (Vice President), Jorge Arreaza (Minister), Luis Salerfi López Chajade (Minister)",74.55,3979600000.00,95.00,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28887118.00,28515829.00,?1.29%
Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,587041.00,21600.00,33.15,261.00,Antananarivo,3076.61,161.17,0.07,MGA,NA,NA,4.18,0.21,NA,1.11,11499803806.57,1.44,0.05,0.04,0.04,34.00,Antananarivo,Christian Ntsay (Prime Minister),65.93,NA,353.00,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26262313.00,26969307.00,0.03
North Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,120540.00,1469000.00,13.83,850.00,Pyongyang,40527.68,NA,NA,KPW,NA,600.29,1.91,0.42,81.41,0.58,1530750.92,0.99,0.28,NA,NA,15.10,Pyongyang,"Kim Jong-un (Supreme leader), Kim Jae-ryong (Premier)",71.69,NA,82.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25549604.00,25666161.00,0.00
Ivory Coast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,322463.00,25000.00,36.83,225.00,Yamoussoukro,11045.00,112.45,0.01,XOF,NA,276.15,4.91,0.33,26.49,0.93,40388624117.11,0.97,0.09,0.07,0.07,66.00,Abidjan,"Alassane Ouattara (President), Daniel Kablan Duncan (Vice President), Amadou Gon Coulibaly (Prime Minister)",53.58,NA,645.00,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25069230.00,25716544.00,0.03
Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,475442.00,23400.00,36.30,237.00,Yaoundé,7003.97,114.58,0.01,XAF,NA,280.67,4.71,0.40,29.86,1.03,34798596482.43,1.19,0.17,0.05,0.05,52.80,Douala,"Paul Biya (President), Joseph Ngute (Prime Minister)",58.07,NA,596.00,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25216267.00,25876380.00,0.03
Australia,1450.00,1450.00,1450.00,1450.00,1450.00,1450.00,1450.00,1450.00,1450.00,1450.00,0.48,7692024.00,57800.00,12.50,61.00,Canberra,361261.84,115.69,0.01,AUD,NA,10059.21,1.81,0.16,93.38,0.93,1323421072479.07,1.01,1.22,0.09,0.09,3.10,Sydney,"Josh Frydenberg (Minister), Scott Morrison (Minister), Marise Payne (Minister), Linda Reynolds (Minister), Alan Tudge (Minister), Paul Fletcher (Minister), Anne Ruston (Minister), Greg Hunt (Minister), Mathias Cormann (Minister), Simon Birmingham (Minister)",82.50,1508462800000.00,6.00,13.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24898152.00,25203198.00,0.01
Taiwan,1025.45,1025.45,1025.45,1025.45,1025.45,1025.45,1025.45,1025.45,1025.45,1025.45,NA,35980.00,NA,NA,886.00,Taipei,NA,NA,NA,TWD,NA,NA,NA,NA,NA,NA,473971000000.00,NA,NA,NA,NA,NA,New Taipei City,Tsai Ing-wen (President),NA,NA,NA,4.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23726460.00,23773876.00,0.00
Niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,1267000.00,10700.00,48.14,227.00,Niamey,2126.86,108.56,0.00,XOF,NA,51.44,7.24,0.01,24.06,0.88,8119732792.53,0.74,0.02,0.07,0.07,50.90,Niamey,"Mahamadou Issoufou (President), Brigi Rafini (Prime Minister)",60.06,NA,553.00,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22442822.00,23310715.00,0.04
Sri Lanka,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,65610.00,305200.00,15.29,94.00,Colombo,18393.67,147.09,0.04,LKR,NA,531.27,2.05,0.33,50.27,0.88,87174682200.43,1.02,0.19,0.03,0.03,8.00,Colombo,"Gotabaya Rajapaksa (President), Thalatha Atukorale (Minister), Mahinda Rajapaksa (Prime Minister)",75.28,18959520000.00,30.00,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21228763.00,21323733.00,0.00
Burkina Faso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,274200.00,11450.00,38.92,226.00,Ouagadougou,2849.26,108.13,0.00,XOF,NA,NA,5.35,0.20,NA,0.98,12873114800.02,0.91,0.06,0.06,0.06,52.70,Fegué,"Roch Marc Christian Kaboré (President), Christophe Joseph Marie Dabiré (Prime Minister)",60.36,NA,371.00,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19751466.00,20321378.00,0.03
Mali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,1240192.00,17800.00,42.63,223.00,Bamako,1411.80,110.23,-0.02,XOF,"Mali, officially the Republic of Mali is a landlocked country in West Africa. Mali is the eighth-largest country in Africa, with an area of just over 1,240,000 square kilometres. The population of Mal",NA,6.06,0.04,NA,1.12,15288163367.26,0.77,0.05,0.06,0.06,68.00,Bamako,Boubou Cissé (Prime Minister),57.97,NA,587.00,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19077749.00,19658031.00,0.03
Romania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60,238397.00,149200.00,9.60,40.00,Bucharest,70003.03,113.95,-0.02,RON,NA,2584.41,1.58,0.30,72.76,1.16,211803281924.74,0.89,0.48,0.05,0.05,7.70,Bucharest,"Klaus Iohannis (President), Ludovic Orban (Prime Minister)",75.01,14023920000.00,31.00,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19506114.00,19364557.00,?0.73%
Malawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,118484.00,14900.00,36.70,265.00,Lilongwe,1276.12,342.18,0.22,MWK,NA,NA,4.57,0.33,NA,1.15,6303277590.80,1.39,0.01,0.09,0.09,38.90,Lilongwe,Saulos Chilima (Vice President),63.22,NA,634.00,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18143217.00,18628747.00,0.03
Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,756096.30,121900.00,13.28,56.00,Santiago,82562.51,125.35,0.04,CLP,NA,3911.65,1.77,0.24,73.28,1.03,277075944401.94,1.00,0.90,0.07,0.07,7.20,Santiago,Sebastián Piñera (President),79.52,294675740000.00,22.00,2.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18729160.00,18952038.00,0.01
Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80,2724900.00,70500.00,22.52,7.00,Nur-Sultan,248314.57,169.28,0.15,KZT,NA,5600.21,2.73,0.01,99.17,0.42,159406926359.12,1.08,0.50,0.04,0.04,10.10,Almaty,"Kassym-Jomart Tokayev (President), Birzhan Nurymbetov (Minister), Askar Mamin (Prime Minister)",72.30,45558250000.00,12.00,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18319618.00,18551427.00,0.01
Zambia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,752618.00,16500.00,38.13,260.00,Lusaka,4503.08,180.95,0.18,ZMW,NA,707.19,4.98,0.65,10.57,1.40,25808666421.56,1.02,0.04,0.07,0.07,43.80,Lusaka,"Bwalya Ng’andu (Minister), Edgar Lungu (President), Inonge Wina (Vice President)",61.87,3184470000.00,224.00,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17351708.00,17861030.00,0.03
Guatemala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,108889.00,43050.00,25.27,502.00,Guatemala City,18327.67,132.84,0.04,GTQ,NA,577.89,2.97,0.33,37.38,0.79,75620095537.50,1.01,0.21,0.07,0.07,23.90,Guatemala City,"Alejandro Giammattei (President), Guillermo Castillo Reyes (Vice President)",73.41,NA,88.00,1.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17247849.00,17581472.00,0.02
Ecuador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,283561.00,40750.00,20.18,593.00,Quito,43919.66,124.10,0.02,USD,NA,1380.61,2.49,0.51,86.88,0.61,103056619000.00,1.04,0.46,0.06,0.06,17.80,Quito,"Lenín Moreno (President), Otto Sonnenholzner (Vice President)",76.33,747000000.00,64.00,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17084358.00,17373662.00,0.02
Netherlands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,41543.00,41310.00,10.10,31.00,Amsterdam,167303.21,111.04,0.00,NA,NA,6712.77,1.66,0.11,91.36,1.68,826200282501.13,1.03,0.80,0.12,0.12,3.20,Amsterdam,"Willem-Alexander of the Netherlands (Monarch), Lodewijk Asscher (Deputy prime minister), Mark Rutte (Prime Minister)",81.51,1100105440292.49,7.00,10.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17059560.00,17097130.00,0.00
Syria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,185180.00,307500.00,21.47,963.00,Damascus,30703.79,143.20,0.37,SYP,NA,949.59,2.92,0.03,97.66,0.83,40405006007.21,0.76,0.39,0.03,0.03,14.20,Aleppo,"Bashar al-Assad (President), Imad Khamis (Prime Minister), Farouk al-Sharaa (First Vice-President), Najah al-Attar (Vice President)",70.31,NA,68.00,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16945057.00,17070135.00,0.01
Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,181035.00,191300.00,23.30,855.00,Phnom Penh,6684.94,124.57,0.03,KHR,NA,271.43,2.56,0.54,30.68,0.90,22158209502.64,1.10,0.13,0.05,0.05,26.30,Phnom Penh,"Norodom Sihamoni (King), Hun Sen (Prime Minister), Aun Porn Moniroth (Minister)",68.98,NA,161.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16249792.00,16486542.00,0.01
Senegal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,196722.00,18600.00,35.60,221.00,Dakar,8855.81,106.87,0.01,XOF,NA,223.50,4.77,0.43,53.67,1.14,16374743753.47,0.83,0.11,0.05,0.05,33.60,Pikine,Macky Sall (President),67.15,NA,315.00,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15854323.00,16296364.00,0.03
Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40,1284000.00,39850.00,43.33,235.00,N'Djamena,729.73,115.91,0.04,XAF,NA,NA,5.95,0.04,NA,0.78,9981303726.23,0.88,0.03,0.03,0.03,75.20,N'Djamena,"Idriss Déby (President), Albert Pahimi Padacké (Prime Minister)",52.90,NA,856.00,0.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15477729.00,15946876.00,0.03
Somalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70,637657.00,19800.00,43.36,252.00,Mogadishu,608.72,NA,NA,SOS,NA,NA,6.27,0.10,NA,1.41,7368560694.66,0.24,0.02,NA,NA,82.60,Mogadishu,NA,56.29,NA,732.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15008226.00,15442905.00,0.03
Zimbabwe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,390757.00,50800.00,33.14,263.00,Harare,12020.43,105.51,-0.02,NA,NA,537.00,3.76,0.36,29.10,1.34,17845821400.00,0.99,0.08,NA,NA,40.00,Harare,"Emmerson Mnangagwa (President), Constantine Chiwenga (Vice President)",61.16,2460690000.00,443.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14438802.00,14645468.00,0.01
Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,245857.00,12300.00,35.91,224.00,Conakry,2449.56,218.71,0.08,GNF,NA,NA,4.86,0.26,NA,0.90,10491474929.68,0.94,0.11,0.06,0.06,58.30,Conakry,"Alpha Condé (President), Tibou Kamara (Minister), Ibrahima Kassory Fofana (Prime Minister), Mamady Youla (Prime Minister)",60.02,NA,679.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12414293.00,12771246.00,0.03
Rwanda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,26338.00,35000.00,31.11,250.00,Kigali,839.74,146.63,0.06,RWF,NA,NA,3.89,0.19,NA,1.17,9136689514.09,1.37,0.08,0.11,0.11,29.20,Kigali,"Paul Kagame (President), Édouard Ngirente (Prime Minister)",67.13,NA,290.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12301970.00,12626950.00,0.03
Benin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,114763.00,9750.00,37.03,229.00,Porto-Novo,6318.24,108.97,-0.01,XOF,NA,100.23,4.98,0.38,44.38,0.72,9273558271.65,1.32,0.13,0.04,0.04,63.10,Cotonou,Patrice Talon (President),60.91,NA,405.00,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11485044.00,11801151.00,0.03
Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,163610.00,47800.00,18.30,216.00,Tunis,28829.95,138.44,0.04,TND,NA,1444.11,2.20,0.07,88.36,0.73,40256675208.73,1.15,0.33,0.07,0.07,11.70,Tunis,Kais Saied (President),75.73,8922590000.00,62.00,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11565201.00,11694719.00,0.01
Belgium,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,0.44,30528.00,33800.00,10.80,32.00,City of Brussels,93350.82,113.13,0.02,EUR,NA,7709.12,1.70,0.23,75.75,1.43,492681283049.25,1.03,0.75,0.11,0.11,3.10,Brussels,"Daniel Bacquelaine (Minister), Philippe of Belgium (Monarch), Sophie Wilmès (Prime Minister)",80.99,437793522325.46,7.00,1501.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11482178.00,11539328.00,0.01
Bolivia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,1098581.00,71200.00,23.25,591.00,Sucre,20410.52,142.40,0.04,BOB,NA,752.69,2.88,0.51,85.20,0.71,37508642112.88,0.98,NA,0.06,0.06,29.50,Santa Cruz de la Sierra,Jeanine Áñez Chávez (President),69.13,NA,206.00,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11353142.00,11513100.00,0.01
Cuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60,109884.00,75500.00,10.87,53.00,Havana,34836.50,NA,NA,CUC,NA,1434.03,1.72,0.31,85.76,1.40,87132800000.00,1.01,0.34,0.09,0.09,4.20,Havana,"Miguel Díaz-Canel (President), Salvador Valdés Mesa (Vice President), Manuel Marrero Cruz (Prime Minister)",79.74,NA,39.00,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11338134.00,11333483.00,?0.04%
Haiti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,27750.00,200.00,24.18,509.00,Port-au-Prince,2860.26,181.49,0.14,HTG,NA,38.97,2.92,0.04,22.02,0.81,8408150517.98,1.12,0.01,0.06,0.06,50.90,Port-au-Prince,"Jovenel Moïse (President), Fritz William Michel (Prime Minister), Fritz-William Michel (Prime Minister)",63.33,NA,359.00,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11123178.00,11263770.00,0.01
South Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644329.00,185000.00,35.94,211.00,Juba,1496.14,4583.71,3.81,SSP,NA,39.89,4.86,NA,72.22,0.28,2904114903.23,0.67,NA,0.03,0.03,59.20,Juba,"Taban Deng Gai (Vice President), James Wani Igga (Vice President)",56.81,NA,789.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10975927.00,11062113.00,0.01
Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,27834.00,51050.00,42.25,257.00,Bujumbura,440.04,188.68,0.06,BIF,NA,NA,5.70,0.11,NA,1.21,3477502178.28,1.31,0.05,0.08,0.08,48.40,Bujumbura,"Pierre Nkurunziza (President), Gaston Sindimwo (Vice President), Dr. Joseph Butore (Vice President)",57.48,NA,712.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10524117.00,10864245.00,0.03
Dominican Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,48670.00,71050.00,20.17,1.00,Santo Domingo,21539.96,128.64,0.02,DOP,NA,1578.15,2.42,0.41,86.54,1.07,75931656814.66,1.02,0.53,0.05,0.05,25.50,Santo Domingo,"Danilo Medina (President), Margarita Cedeño de Fernández (Vice President)",73.86,NA,92.00,0.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10627141.00,10738958.00,0.01
Czech Republic,106.96,106.96,106.96,106.96,106.96,106.96,106.96,106.96,106.96,106.96,0.55,78866.00,23200.00,10.70,420.00,Prague,96475.10,110.87,0.01,CZK,NA,6258.89,1.57,0.35,75.96,1.17,215725534372.37,0.99,0.64,0.08,0.08,2.50,Prague,Andrej Babiš (Prime Minister),78.33,40912350000.00,4.00,3.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10665677.00,10689209.00,0.00
Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60,131957.00,145350.00,8.60,30.00,Athens,67318.79,101.06,-0.01,EUR,NA,5062.61,1.33,0.31,85.12,1.54,200288277129.04,0.95,1.17,0.09,0.09,3.10,Macedonia,Prokopis Pavlopoulos (President),81.04,50605060000.00,3.00,683.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10522246.00,10473455.00,?0.46%
Portugal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,92212.00,74500.00,8.40,351.00,Lisbon,45052.76,109.17,0.01,EUR,NA,4662.60,1.31,0.35,76.88,1.54,217571083045.99,1.05,0.63,0.09,0.09,2.90,Lisbon,"António Costa (Prime Minister), Marcelo Rebelo de Sousa (President)",81.13,75589628811.64,10.00,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10256193.00,10226187.00,?0.29%
Jordan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,89342.00,115500.00,26.47,962.00,Amman,26450.07,119.34,-0.01,JOD,NA,1888.12,3.38,0.01,97.61,1.10,40068308516.28,1.00,0.36,0.10,0.10,15.10,Amman,"Abdullah II of Jordan (Monarch), Ayman Safadi (Minister), Muhyiddine Touq (Minister), Mohamad Al-Ississ ?. ???? ????? ?????? (Minister), Wissam Rabadi (Minister), Basim Tweissi (Minister), Ezzeddine Kanakrieh (Minister), Khalid Saif (Minister), Ibrahim Shahahdeh (Minister), Tayseer Nueimi (Minister)",74.33,23968560000.00,58.00,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9965318.00,10101694.00,0.01
Azerbaijan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,86600.00,81950.00,16.30,994.00,Baku,37487.74,149.47,0.04,AZN,NA,2202.39,1.94,0.14,98.37,0.56,39207000000.00,1.06,0.27,0.05,0.05,27.20,Baku,"Mehriban Aliyeva (Vice President), Ilham Aliyev (President), Ali Asadov (Prime Minister)",72.03,3220000.00,25.00,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9949537.00,10047718.00,0.01
Sweden,464.47,464.47,464.47,464.47,464.47,464.47,464.47,464.47,464.47,464.47,0.07,450295.00,30550.00,11.80,46.00,Stockholm,43420.95,106.49,0.01,SEK,NA,13480.15,1.85,0.69,26.84,1.42,538040458217.00,1.23,0.62,0.10,0.10,2.40,Västergötland,"Carl XVI Gustaf of Sweden (Monarch), Stefan Löfven (Prime Minister)",82.20,289877140000.00,4.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9971638.00,10036379.00,0.01
United Arab Emirates,136.89,136.89,136.89,136.89,136.89,136.89,136.89,136.89,136.89,136.89,0.05,83600.00,63000.00,9.59,971.00,Abu Dhabi,211369.55,113.30,0.02,AED,NA,11263.53,1.75,0.04,99.81,0.49,382575085091.90,1.11,0.37,0.03,0.03,6.60,Dubai,"Khalifa bin Zayed Al Nahyan (President), Sultan bin Mohamed Al-Qasimi (Emir), Mohammed bin Rashid Al Maktoum (Prime Minister)",77.26,239387430000.00,6.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9630959.00,9770529.00,0.01
Honduras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,112492.00,22700.00,21.72,504.00,Tegucigalpa,9471.86,138.05,0.03,HNL,NA,630.14,2.46,0.41,52.48,0.98,22978532896.78,0.96,0.20,0.09,0.09,16.00,Tegucigalpa,"Juan Orlando Hernández (President), Ricardo Álvarez (First Vice-President)",73.58,NA,129.00,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9587522.00,9746117.00,0.02
Hungary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,93030.00,39800.00,9.70,36.00,Budapest,42086.16,114.45,0.00,HUF,NA,3965.96,1.45,0.23,69.32,1.18,139135029758.29,1.02,0.48,0.08,0.08,4.40,Budapest,"János Áder (President), Viktor Orbán (Prime Minister)",75.57,31553860000.00,17.00,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9707499.00,9684679.00,?0.24%
Belarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,207600.00,155350.00,12.40,375.00,Minsk,63497.77,288.65,0.12,BYN,NA,3679.98,1.73,0.43,92.44,0.60,54442374372.51,1.02,0.87,0.05,0.05,2.90,Minsk,"Alexander Lukashenko (President), Syarhey Rumas (Prime Minister)",73.83,NA,4.00,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9452617.00,9452411.00,0.00
Tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,143100.00,16300.00,28.84,992.00,Dushanbe,5188.81,148.57,0.06,TJS,NA,1479.78,3.36,0.03,54.90,0.71,7145701018.75,0.99,0.31,0.06,0.06,37.10,Dushanbe,Kokhir Rasulzoda (Prime Minister),71.05,NA,32.00,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9100835.00,9321018.00,0.02
