Country,2017INv,2017Emp,2018INv,2018Emp,2019Inv,2019Emp,2020Inv,2020Emp,TotalInv,TotalEmp,C1,C2,C3,C4,C5,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,c60,c61,c62
Botswana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,581730,9000,23.67,267,7033.31,141.14,0.04,BWP,NA,1748.62,2.73,0.19,74.69,0.71,17406530781,1.05,0.23,0.05,0.05,32.6,66.8,977610000,129,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2254068,2303697,0.02
Gabon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,267667,6700,29.51,241,5192.47,111.3,0.02,XAF,NA,1172.89,3.79,0.89,24.2,0.92,14622880886,1.39,0.08,0.03,0.03,34.3,66.11,NA,291,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2119275,2172579,0.03
Lesotho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,30355,2000,27.87,266,2467.89,142.67,0.07,NA,NA,NA,3.09,0.02,0,0.7,2639386291,1.04,0.09,0.12,0.12,72.4,54.17,NA,487,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2108328,2125268,0.01
Republic of North Macedonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,25713,15600,11.28,389,7510.02,110.91,0,MKD,NA,3497,1.53,0.4,79.28,1.11,11337827332,0.94,0.41,0.07,0.07,10.7,75.7,NA,8,213.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2082957,2083459,0
Slovenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,20273,13200,9.9,386,12812.5,107.4,0,EUR,NA,6728,1.57,0.62,60.87,1.32,48769655479,0.99,0.8,0.09,0.09,1.8,80.78,6318340000,9,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2077837,2078654,0
Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,36125,4450,36.58,245,271.36,111.65,0.02,XOF,NA,NA,4.63,0.7,0,NA,1346933490,1.18,0.03,0.06,0.06,57.8,57.4,NA,549,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1874303,1920922,0.02
Latvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,64589,5310,11.2,371,6974.63,110.85,0,EUR,NA,3507.4,1.7,0.54,56.72,1.16,30264454642,0.98,0.68,0.06,0.06,3.9,74.53,NA,18,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928459,1906743,?1.13%
Bahrain,0,0,0,0,0,0,0,0,0,0,0.11,765.3,19460,14.76,973,31338.18,115.19,0.03,BHD,NA,19592.23,2.03,0.01,100,0.43,35307127660,1.01,0.47,0.04,0.04,6.5,76.9,21706180000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1569446,1641172,0.05
Trinidad and Tobago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,5128,4050,13.61,1,46273.87,140.32,0.03,TTD,NA,7134.03,1.75,0.46,99.93,0.54,22104775828,1.06,0.12,0.05,0.05,16.5,70.67,3889100000,63,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1389843,1394973,0
Equatorial Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,28051,1450,34.11,240,5346.49,121.19,0.01,XAF,NA,NA,4.69,0.56,0,NA,12486753871,0.62,0.02,0.05,0.05,66.2,57.68,NA,342,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1308975,1355986,0.04
Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,45228,6400,10.7,372,19519.44,115.46,0,EUR,NA,6732.37,1.58,0.53,12.29,1.14,25921079612,0.97,0.72,0.06,0.06,2.3,77.74,NA,9,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1322920,1325648,0
